MARCA,AÑO,SUBMARCA,G/Km,Descripción,Venta/Contado,Compra/Lista,extra 1,,,extra 2,,,extra 3,,,extra 4,,,extra 5,,,extra 6,,,extra 7,,,extra 8,,,extra 9,,,extra 10,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2020,ILX,0,"4 pts. Tech, TA, piel, QC, GPS, RA-17","534,900",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2020,ILX,0,"4 pts. A-Spec, TA, piel, QC, GPS, f. niebla, RA-18","574,900",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,ILX,C,"4 pts. Tech, TA, piel, QC, GPS, RA-17","387,100","335,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,ILX,C,"4 pts. A-Spec, TA, piel, QC, GPS, f. niebla, RA-18","408,800","353,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,ILX,C,"4 pts. Tech, TA, piel, QC, GPS, RA-17","307,400","265,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,ILX,C,"4 pts. A-Spec, TA, piel, QC, GPS, f. niebla, RA-18","329,800","284,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,ILX,C,"4 pts. Tech, TA, piel, QC, GPS, DVD, RA-17","272,100","235,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,ILX,C,"4 pts. A-Spec, TA, piel, QC, GPS, f. niebla, RA-18","289,500","249,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
