Identificador del vendedor,Línea,Gravedad,Resumen del problema,Descripción del problema,Nombre de la propiedad,Valor en la lista,Nombre de la lista,Hora de inicio de la subida
P3RGK,35,fatal,"Los valores reconocidos para estos campos incluyen ""CONVERTIBLE"", ""COUPE"", ""CROSSOVER"", ""HATCHBACK"", ""MINIVAN"", ""SMALL_CAR"", ""TRUCK"", ""SUV"", ""SEDAN"", ""VAN"", ""WAGON"", ""OTHER"", ""NONE"". Actualiza la información en",La información de body_style proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,body_style,body_style,,2021-03-18 15:15:57
EFLRF,31,fatal,"Los valores reconocidos para estos campos incluyen ""CONVERTIBLE"", ""COUPE"", ""CROSSOVER"", ""HATCHBACK"", ""MINIVAN"", ""SMALL_CAR"", ""TRUCK"", ""SUV"", ""SEDAN"", ""VAN"", ""WAGON"", ""OTHER"", ""NONE"". Actualiza la información en",La información de body_style proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,body_style,body_style,,2021-03-18 15:15:57
N0LHP,29,fatal,"Los valores reconocidos para estos campos incluyen ""CONVERTIBLE"", ""COUPE"", ""CROSSOVER"", ""HATCHBACK"", ""MINIVAN"", ""SMALL_CAR"", ""TRUCK"", ""SUV"", ""SEDAN"", ""VAN"", ""WAGON"", ""OTHER"", ""NONE"". Actualiza la información en",La información de body_style proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,body_style,body_style,,2021-03-18 15:15:57
CDQZH,30,fatal,"Los valores reconocidos para estos campos incluyen ""CONVERTIBLE"", ""COUPE"", ""CROSSOVER"", ""HATCHBACK"", ""MINIVAN"", ""SMALL_CAR"", ""TRUCK"", ""SUV"", ""SEDAN"", ""VAN"", ""WAGON"", ""OTHER"", ""NONE"". Actualiza la información en",La información de body_style proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,body_style,body_style,,2021-03-18 15:15:57
NWEJK6,38,fatal,"Los valores reconocidos para estos campos incluyen ""CONVERTIBLE"", ""COUPE"", ""CROSSOVER"", ""HATCHBACK"", ""MINIVAN"", ""SMALL_CAR"", ""TRUCK"", ""SUV"", ""SEDAN"", ""VAN"", ""WAGON"", ""OTHER"", ""NONE"". Actualiza la información en",La información de body_style proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,body_style,body_style,,2021-03-18 15:15:57
CDQZH,30,warning,"Los valores reconocidos para estos campos incluyen ""DIESEL"", ""ELECTRIC"", ""GASOLINE"", ""FLEX"", ""HYBRID"", ""OTHER"", ""PETROL"", ""PLUGIN_HYBRID"", ""NONE"". Actualiza la información en",La información de fuel_type proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,fuel_type,fuel_type,,2021-03-18 15:15:57
N0LHP,29,warning,"Los valores reconocidos para estos campos incluyen ""DIESEL"", ""ELECTRIC"", ""GASOLINE"", ""FLEX"", ""HYBRID"", ""OTHER"", ""PETROL"", ""PLUGIN_HYBRID"", ""NONE"". Actualiza la información en",La información de fuel_type proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,fuel_type,fuel_type,,2021-03-18 15:15:57
EFLRF,31,warning,"Los valores reconocidos para estos campos incluyen ""DIESEL"", ""ELECTRIC"", ""GASOLINE"", ""FLEX"", ""HYBRID"", ""OTHER"", ""PETROL"", ""PLUGIN_HYBRID"", ""NONE"". Actualiza la información en",La información de fuel_type proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,fuel_type,fuel_type,,2021-03-18 15:15:57
P3RGK,35,warning,"Los valores reconocidos para estos campos incluyen ""DIESEL"", ""ELECTRIC"", ""GASOLINE"", ""FLEX"", ""HYBRID"", ""OTHER"", ""PETROL"", ""PLUGIN_HYBRID"", ""NONE"". Actualiza la información en",La información de fuel_type proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,fuel_type,fuel_type,,2021-03-18 15:15:57
NWEJK6,38,warning,"Los valores reconocidos para estos campos incluyen ""DIESEL"", ""ELECTRIC"", ""GASOLINE"", ""FLEX"", ""HYBRID"", ""OTHER"", ""PETROL"", ""PLUGIN_HYBRID"", ""NONE"". Actualiza la información en",La información de fuel_type proporcionada no es válida. Haz clic en "Revisar" para obtener más detalles.,fuel_type,fuel_type,,2021-03-18 15:15:57
